Date,Product_Code,Warehouse,Product_Category,Order_Demand,month,quarter,year,season,is_holiday_season,lag_1,lag_2,lag_3,lag_6,rolling_mean_3,rolling_mean_6,Unit_Price,Revenue
2012-07-01,Product_0001,Whse_A,Category_005,8000.0,7,3,2012,Summer,0,2000.0,8000.0,1500.0,6400.0,3833.3333333333335,6550.0,65.02,520159.99999999994
2012-08-01,Product_0001,Whse_A,Category_005,6400.0,8,3,2012,Summer,0,8000.0,2000.0,8000.0,10400.0,6000.0,6816.666666666667,66.24,423935.99999999994
2012-09-01,Product_0001,Whse_A,Category_005,5600.0,9,3,2012,Autumn,0,6400.0,8000.0,2000.0,11000.0,5466.666666666667,6150.0,67.58,378448.0
2012-10-01,Product_0001,Whse_A,Category_005,13700.0,10,4,2012,Autumn,0,5600.0,6400.0,8000.0,1500.0,6666.666666666667,5250.0,72.55,993935.0
2012-11-01,Product_0001,Whse_A,Category_005,4500.0,11,4,2012,Autumn,1,13700.0,5600.0,6400.0,8000.0,8566.666666666666,7283.333333333333,76.1,342450.0
2012-12-01,Product_0001,Whse_A,Category_005,5300.0,12,4,2012,Winter,1,4500.0,13700.0,5600.0,2000.0,7933.333333333333,6700.0,76.29,404337.00000000006
2013-01-01,Product_0001,Whse_A,Category_005,5000.0,1,1,2013,Winter,0,5300.0,4500.0,13700.0,8000.0,7833.333333333333,7250.0,74.14,370700.0
2013-02-01,Product_0001,Whse_A,Category_005,7700.0,2,1,2013,Winter,0,5000.0,5300.0,4500.0,6400.0,4933.333333333333,6750.0,75.6,582120.0
2013-03-01,Product_0001,Whse_A,Category_005,10600.0,3,1,2013,Spring,0,7700.0,5000.0,5300.0,5600.0,6000.0,6966.666666666667,66.14,701084.0
2013-04-01,Product_0001,Whse_A,Category_005,5600.0,4,2,2013,Spring,0,10600.0,7700.0,5000.0,13700.0,7766.666666666667,7800.0,64.96,363775.99999999994
2013-05-01,Product_0001,Whse_A,Category_005,2800.0,5,2,2013,Spring,0,5600.0,10600.0,7700.0,4500.0,7966.666666666667,6450.0,69.78,195384.0
2013-06-01,Product_0001,Whse_A,Category_005,9100.0,6,2,2013,Summer,0,2800.0,5600.0,10600.0,5300.0,6333.333333333333,6166.666666666667,64.42,586222.0
2013-07-01,Product_0001,Whse_A,Category_005,6400.0,7,3,2013,Summer,0,9100.0,2800.0,5600.0,5000.0,5833.333333333333,6800.0,62.83,402112.0
2013-08-01,Product_0001,Whse_A,Category_005,3000.0,8,3,2013,Summer,0,6400.0,9100.0,2800.0,7700.0,6100.0,7033.333333333333,63.74,191220.0
2013-09-01,Product_0001,Whse_A,Category_005,5300.0,9,3,2013,Autumn,0,3000.0,6400.0,9100.0,10600.0,6166.666666666667,6250.0,67.86,359658.0
2013-10-01,Product_0001,Whse_A,Category_005,9400.0,10,4,2013,Autumn,0,5300.0,3000.0,6400.0,5600.0,4900.0,5366.666666666667,70.53,662982.0
2013-11-01,Product_0001,Whse_A,Category_005,11000.0,11,4,2013,Autumn,1,9400.0,5300.0,3000.0,2800.0,5900.0,6000.0,71.47,786170.0
2013-12-01,Product_0001,Whse_A,Category_005,3000.0,12,4,2013,Winter,1,11000.0,9400.0,5300.0,9100.0,8566.666666666666,7366.666666666667,75.62,226860.0
2014-01-01,Product_0001,Whse_A,Category_005,4100.0,1,1,2014,Winter,0,3000.0,11000.0,9400.0,6400.0,7800.0,6350.0,75.63,310083.0
2014-02-01,Product_0001,Whse_A,Category_005,2300.0,2,1,2014,Winter,0,4100.0,3000.0,11000.0,3000.0,6033.333333333333,5966.666666666667,75.32,173235.99999999997
2014-03-01,Product_0001,Whse_A,Category_005,4700.0,3,1,2014,Spring,0,2300.0,4100.0,3000.0,5300.0,3133.3333333333335,5850.0,67.78,318566.0
2014-04-01,Product_0001,Whse_A,Category_005,7000.0,4,2,2014,Spring,0,4700.0,2300.0,4100.0,9400.0,3700.0,5750.0,66.92,468440.0
2014-05-01,Product_0001,Whse_A,Category_005,5100.0,5,2,2014,Spring,0,7000.0,4700.0,2300.0,11000.0,4666.666666666667,5350.0,65.11,332061.0
2014-06-01,Product_0001,Whse_A,Category_005,6800.0,6,2,2014,Summer,0,5100.0,7000.0,4700.0,3000.0,5600.0,4366.666666666667,67.63,459883.99999999994
2014-07-01,Product_0001,Whse_A,Category_005,6400.0,7,3,2014,Summer,0,6800.0,5100.0,7000.0,4100.0,6300.0,5000.0,65.12,416768.0
2014-08-01,Product_0001,Whse_A,Category_005,8200.0,8,3,2014,Summer,0,6400.0,6800.0,5100.0,2300.0,6100.0,5383.333333333333,64.67,530294.0
2014-09-01,Product_0001,Whse_A,Category_005,6600.0,9,3,2014,Autumn,0,8200.0,6400.0,6800.0,4700.0,7133.333333333333,6366.666666666667,72.73,480018.0
2014-10-01,Product_0001,Whse_A,Category_005,10200.0,10,4,2014,Autumn,0,6600.0,8200.0,6400.0,7000.0,7066.666666666667,6683.333333333333,68.35,697170.0
2014-11-01,Product_0001,Whse_A,Category_005,8800.0,11,4,2014,Autumn,1,10200.0,6600.0,8200.0,5100.0,8333.333333333334,7216.666666666667,72.01,633688.0
2014-12-01,Product_0001,Whse_A,Category_005,4000.0,12,4,2014,Winter,1,8800.0,10200.0,6600.0,6800.0,8533.333333333334,7833.333333333333,74.31,297240.0
2015-01-01,Product_0001,Whse_A,Category_005,2100.0,1,1,2015,Winter,0,4000.0,8800.0,10200.0,6400.0,7666.666666666667,7366.666666666667,71.36,149856.0
2015-02-01,Product_0001,Whse_A,Category_005,7100.0,2,1,2015,Winter,0,2100.0,4000.0,8800.0,8200.0,4966.666666666667,6650.0,73.49,521778.99999999994
2015-03-01,Product_0001,Whse_A,Category_005,3600.0,3,1,2015,Spring,0,7100.0,2100.0,4000.0,6600.0,4400.0,6466.666666666667,70.19,252684.0
2015-04-01,Product_0001,Whse_A,Category_005,4100.0,4,2,2015,Spring,0,3600.0,7100.0,2100.0,10200.0,4266.666666666667,5966.666666666667,69.83,286303.0
2015-05-01,Product_0001,Whse_A,Category_005,4900.0,5,2,2015,Spring,0,4100.0,3600.0,7100.0,8800.0,4933.333333333333,4950.0,71.26,349174.0
2015-06-01,Product_0001,Whse_A,Category_005,2600.0,6,2,2015,Summer,0,4900.0,4100.0,3600.0,4000.0,4200.0,4300.0,66.14,171964.0
2015-07-01,Product_0001,Whse_A,Category_005,5400.0,7,3,2015,Summer,0,2600.0,4900.0,4100.0,2100.0,3866.6666666666665,4066.6666666666665,72.1,389339.99999999994
2015-08-01,Product_0001,Whse_A,Category_005,10500.0,8,3,2015,Summer,0,5400.0,2600.0,4900.0,7100.0,4300.0,4616.666666666667,63.66,668430.0
2015-09-01,Product_0001,Whse_A,Category_005,8000.0,9,3,2015,Autumn,0,10500.0,5400.0,2600.0,3600.0,6166.666666666667,5183.333333333333,69.41,555280.0
2015-10-01,Product_0001,Whse_A,Category_005,1000.0,10,4,2015,Autumn,0,8000.0,10500.0,5400.0,4100.0,7966.666666666667,5916.666666666667,70.12,70120.0
2015-11-01,Product_0001,Whse_A,Category_005,3400.0,11,4,2015,Autumn,1,1000.0,8000.0,10500.0,4900.0,6500.0,5400.0,67.26,228684.00000000003
2015-12-01,Product_0001,Whse_A,Category_005,1000.0,12,4,2015,Winter,1,3400.0,1000.0,8000.0,2600.0,4133.333333333333,5150.0,75.96,75960.0
2016-01-01,Product_0001,Whse_A,Category_005,100.0,1,1,2016,Winter,0,1000.0,3400.0,1000.0,5400.0,1800.0,4883.333333333333,75.65,7565.000000000001
2016-02-01,Product_0001,Whse_A,Category_005,5200.0,2,1,2016,Winter,0,100.0,1000.0,3400.0,10500.0,1500.0,4000.0,73.7,383240.0
2016-03-01,Product_0001,Whse_A,Category_005,6000.0,3,1,2016,Spring,0,5200.0,100.0,1000.0,8000.0,2100.0,3116.6666666666665,67.11,402660.0
2016-04-01,Product_0001,Whse_A,Category_005,2000.0,4,2,2016,Spring,0,6000.0,5200.0,100.0,1000.0,3766.6666666666665,2783.3333333333335,65.14,130280.0
2016-05-01,Product_0001,Whse_A,Category_005,14000.0,5,2,2016,Spring,0,2000.0,6000.0,5200.0,3400.0,4400.0,2950.0,66.59,932260.0
2016-06-01,Product_0001,Whse_A,Category_005,3100.0,6,2,2016,Summer,0,14000.0,2000.0,6000.0,1000.0,7333.333333333333,4716.666666666667,66.93,207483.00000000003
2016-07-01,Product_0001,Whse_A,Category_005,7800.0,7,3,2016,Summer,0,3100.0,14000.0,2000.0,100.0,6366.666666666667,5066.666666666667,65.06,507468.0
2016-08-01,Product_0001,Whse_A,Category_005,16000.0,8,3,2016,Summer,0,7800.0,3100.0,14000.0,5200.0,8300.0,6350.0,64.63,1034079.9999999999
2016-09-01,Product_0001,Whse_A,Category_005,2000.0,9,3,2016,Autumn,0,16000.0,7800.0,3100.0,6000.0,8966.666666666666,8150.0,71.3,142600.0
2016-10-01,Product_0001,Whse_A,Category_005,500.0,10,4,2016,Autumn,0,2000.0,16000.0,7800.0,2000.0,8600.0,7483.333333333333,72.69,36345.0
2016-11-01,Product_0001,Whse_A,Category_005,500.0,11,4,2016,Autumn,1,500.0,2000.0,16000.0,14000.0,6166.666666666667,7233.333333333333,70.79,35395.0
2016-12-01,Product_0001,Whse_A,Category_005,200.0,12,4,2016,Winter,1,500.0,500.0,2000.0,3100.0,1000.0,4983.333333333333,74.35,14869.999999999998
2012-06-01,Product_0001,Whse_J,Category_005,4400.0,6,2,2012,Summer,0,1300.0,1800.0,3100.0,300.0,2066.6666666666665,2066.6666666666665,68.13,299772.0
2012-07-01,Product_0001,Whse_J,Category_005,2100.0,7,3,2012,Summer,0,4400.0,1300.0,1800.0,3300.0,2500.0,2750.0,65.05,136605.0
2012-08-01,Product_0001,Whse_J,Category_005,2900.0,8,3,2012,Summer,0,2100.0,4400.0,1300.0,2600.0,2600.0,2550.0,60.4,175160.0
2012-09-01,Product_0001,Whse_J,Category_005,1100.0,9,3,2012,Autumn,0,2900.0,2100.0,4400.0,3100.0,3133.3333333333335,2600.0,71.14,78254.0
2012-10-01,Product_0001,Whse_J,Category_005,3300.0,10,4,2012,Autumn,0,1100.0,2900.0,2100.0,1800.0,2033.3333333333333,2266.6666666666665,69.57,229580.99999999997
2012-11-01,Product_0001,Whse_J,Category_005,2900.0,11,4,2012,Autumn,1,3300.0,1100.0,2900.0,1300.0,2433.3333333333335,2516.6666666666665,69.8,202420.0
2012-12-01,Product_0001,Whse_J,Category_005,700.0,12,4,2012,Winter,1,2900.0,3300.0,1100.0,4400.0,2433.3333333333335,2783.3333333333335,74.83,52381.0
2013-01-01,Product_0001,Whse_J,Category_005,1900.0,1,1,2013,Winter,0,700.0,2900.0,3300.0,2100.0,2300.0,2166.6666666666665,73.46,139574.0
2013-02-01,Product_0001,Whse_J,Category_005,1400.0,2,1,2013,Winter,0,1900.0,700.0,2900.0,2900.0,1833.3333333333333,2133.3333333333335,74.3,104020.0
2013-03-01,Product_0001,Whse_J,Category_005,1500.0,3,1,2013,Spring,0,1400.0,1900.0,700.0,1100.0,1333.3333333333333,1883.3333333333333,64.21,96314.99999999999
2013-04-01,Product_0001,Whse_J,Category_005,1400.0,4,2,2013,Spring,0,1500.0,1400.0,1900.0,3300.0,1600.0,1950.0,66.42,92988.0
2013-05-01,Product_0001,Whse_J,Category_005,1000.0,5,2,2013,Spring,0,1400.0,1500.0,1400.0,2900.0,1433.3333333333333,1633.3333333333333,71.24,71240.0
2013-06-01,Product_0001,Whse_J,Category_005,600.0,6,2,2013,Summer,0,1000.0,1400.0,1500.0,700.0,1300.0,1316.6666666666667,65.59,39354.0
2013-07-01,Product_0001,Whse_J,Category_005,2600.0,7,3,2013,Summer,0,600.0,1000.0,1400.0,1900.0,1000.0,1300.0,62.33,162058.0
2013-08-01,Product_0001,Whse_J,Category_005,1400.0,8,3,2013,Summer,0,2600.0,600.0,1000.0,1400.0,1400.0,1416.6666666666667,63.51,88914.0
2013-09-01,Product_0001,Whse_J,Category_005,500.0,9,3,2013,Autumn,0,1400.0,2600.0,600.0,1500.0,1533.3333333333333,1416.6666666666667,68.31,34155.0
2013-10-01,Product_0001,Whse_J,Category_005,2000.0,10,4,2013,Autumn,0,500.0,1400.0,2600.0,1400.0,1500.0,1250.0,70.62,141240.0
2013-11-01,Product_0001,Whse_J,Category_005,2200.0,11,4,2013,Autumn,1,2000.0,500.0,1400.0,1000.0,1300.0,1350.0,69.49,152878.0
2013-12-01,Product_0001,Whse_J,Category_005,2900.0,12,4,2013,Winter,1,2200.0,2000.0,500.0,600.0,1566.6666666666667,1550.0,72.37,209873.0
2014-01-01,Product_0001,Whse_J,Category_005,2100.0,1,1,2014,Winter,0,2900.0,2200.0,2000.0,2600.0,2366.6666666666665,1933.3333333333333,73.83,155043.0
2014-02-01,Product_0001,Whse_J,Category_005,2700.0,2,1,2014,Winter,0,2100.0,2900.0,2200.0,1400.0,2400.0,1850.0,74.88,202176.0
2014-03-01,Product_0001,Whse_J,Category_005,1200.0,3,1,2014,Spring,0,2700.0,2100.0,2900.0,500.0,2566.6666666666665,2066.6666666666665,67.83,81396.0
